,AnimalID,SessionID,Ntrials,Protocol,Stim,FiberSide,FiberArea,StimSide,StimPort,Contralateral,InitialBias,ProgressionBlockIndex,BiasToStimMovement
536,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,549.5,8.673856639429978
537,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,554.5,4.405149156436771
538,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,559.5,8.333720585008201
539,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,564.5,2.3813396326272525
540,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,569.5,9.28610153738915
541,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,574.5,7.619434870722479
542,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,579.5,0.5105913333075165
543,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,584.5,-15.872628621341008
544,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,589.5,-4.047231795944185
545,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,594.5,11.190863442151063
546,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,599.5,14.524196775484377
547,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,604.5,26.190863442151063
548,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,609.5,26.190863442151063
549,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,614.5,20.2384824897701
550,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,619.5,13.294038045325657
551,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,624.5,5.952768204055822
552,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,629.5,-7.142469891182273
553,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,634.5,4.405149156436771
554,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,639.5,0.23848248977010655
555,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,644.5,9.524196775484391
556,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,649.5,6.292904258477584
557,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,654.5,8.333720585008201
558,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,659.5,4.762292013579632
559,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,664.5,-9.285327034039419
560,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,669.5,-19.7615175102299
561,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,674.5,-17.856755605467995
562,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,679.5,-14.285327034039426
563,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,684.5,-14.285327034039426
564,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,689.5,-14.047231795944185
565,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,694.5,-7.652673972814931
566,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,699.5,-20.747912068053026
567,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,704.5,-40.31707306578545
568,DAopto-01,DAopto-01 Apr07 12:50,726.0,Aud_Psycho,True,Left,tStr,Right,Center,True,63.09780657130888,709.5,-38.33294608165846
1181,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,75.5,0.0
1182,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,149.5,34.05797101449275
1183,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,154.5,40.72463768115942
1184,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,159.5,36.20082815734989
1185,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,164.5,42.550034506556244
1186,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,169.5,42.74844720496894
1187,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,174.5,32.45933155871043
1188,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,179.5,44.53416149068322
1189,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,184.5,37.86749482401656
1190,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,189.5,25.24844720496894
1191,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,194.5,29.534161490683232
1192,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,199.5,26.43892339544513
1193,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,204.5,21.91511387163561
1194,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,209.5,11.20082815734989
1195,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,214.5,15.248447204968933
1196,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,219.5,15.486542443064174
1197,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,224.5,6.200828157349896
1198,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,229.5,-9.037267080745345
1199,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,234.5,-6.894409937888199
1200,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,239.5,-4.989648033126294
1201,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,244.5,-7.37060041407868
1202,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,249.5,-6.996450754214727
1203,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,254.5,19.05797101449275
1204,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,259.5,25.24844720496894
1205,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,264.5,20.962732919254663
1206,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,269.5,23.343685300207042
1207,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,274.5,32.15320910973085
1208,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,279.5,28.58178053830227
1209,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,284.5,30.24844720496894
1210,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,289.5,27.86749482401656
1211,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,294.5,21.91511387163561
1212,DAopto-02,DAopto-02 Apr05 14:11,826.0,Aud_Psycho,True,Left,tStr,Right,Center,True,47.00719189277542,299.5,16.756383712905446
